Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
510	0,976166	0,377151	0,403534	0,204865	0,150436	0,178925	0,241211	0,1978
511	0,981201	0,386902	0,414398	0,208557	0,152634	0,180969	0,24617	0,199738
512	0,986359	0,396835	0,425323	0,212341	0,154999	0,183105	0,251251	0,201797
513	0,991516	0,406937	0,436554	0,216125	0,157318	0,185287	0,256332	0,203796
514	0,996582	0,416931	0,447723	0,219879	0,159561	0,187363	0,261505	0,205734
515	1,002106	0,427551	0,459579	0,223892	0,162003	0,18959	0,267044	0,207794
516	1,007614	0,438339	0,471573	0,228012	0,164551	0,191895	0,272583	0,209869
517	1,013123	0,449387	0,48381	0,232056	0,167023	0,194183	0,278168	0,211868
518	1,018723	0,460205	0,496002	0,236115	0,169449	0,196426	0,283752	0,213928
519	1,024414	0,471298	0,508499	0,240295	0,172104	0,198883	0,28952	0,216049
520	1,030197	0,482483	0,520996	0,244507	0,174728	0,201279	0,295242	0,21814
521	1,035873	0,49382	0,533386	0,248611	0,177292	0,203583	0,30098	0,220139
522	1,041641	0,50528	0,545929	0,252838	0,179901	0,205948	0,306854	0,222214
523	1,047592	0,516907	0,558838	0,25705	0,182541	0,208389	0,31279	0,224274
524	1,053452	0,528427	0,571381	0,261322	0,185196	0,210693	0,318665	0,226227
525	1,059296	0,54007	0,584137	0,265594	0,187805	0,213104	0,324615	0,228226
526	1,065582	0,552353	0,597778	0,270187	0,190674	0,215759	0,330933	0,230423
527	1,071838	0,564285	0,611343	0,274628	0,19342	0,218338	0,337204	0,232483
528	1,077988	0,576263	0,62471	0,279099	0,196228	0,22084	0,343338	0,234558
529	1,084015	0,588318	0,638	0,283478	0,198975	0,223358	0,349426	0,236664
530	1,089752	0,59993	0,650879	0,287766	0,201691	0,225815	0,355392	0,238678
531	1,0961	0,612366	0,664551	0,292404	0,204605	0,228531	0,361801	0,240906
532	1,101959	0,623947	0,677216	0,296616	0,20726	0,23085	0,367676	0,24292
533	1,108231	0,636108	0,690521	0,301178	0,210175	0,233398	0,373901	0,244995
534	1,114075	0,647858	0,703629	0,305435	0,212784	0,23584	0,379913	0,24704
535	1,120316	0,659805	0,717285	0,309982	0,215683	0,238556	0,386292	0,249283
536	1,124741	0,67131	0,730286	0,314529	0,21843	0,241089	0,392288	0,25145
537	1,128983	0,68338	0,743576	0,318909	0,221176	0,243622	0,3983	0,253647
538	1,135117	0,695709	0,757233	0,323456	0,22403	0,246277	0,404587	0,255905
539	1,141113	0,707611	0,770325	0,327942	0,226868	0,24884	0,410751	0,258179
540	1,147263	0,719833	0,783783	0,332443	0,229767	0,251495	0,417007	0,260437
